REF_DATE,GEO,Sex,Age group,Employment,Full-time employment,Labour force,Part-time employment ,Population,Unemployment,Employment rate,Participation rate,Unemployment rate
2022-06-01,Canada,Both sexes,15 years and over,19702800.0,16148800.0,20728800.0,3554000.0,31745300.0,1026000.0,62.1,65.3,4.9
2022-06-01,Manitoba,Both sexes,15 years and over,678300.0,547600.0,706400.0,130600.0,1063200.0,28200.0,63.8,66.4,4.0
2022-06-01,New Brunswick,Both sexes,15 years and over,374000.0,320700.0,398700.0,53300.0,662600.0,24700.0,56.4,60.2,6.2
2022-06-01,Newfoundland and Labrador,Both sexes,15 years and over,233800.0,195300.0,259100.00000000003,38400.0,448100.0,25400.0,52.2,57.8,9.8
2022-06-01,Nova Scotia,Both sexes,15 years and over,486100.0,400000.0,519500.0,86100.0,838600.0,33400.0,58.0,61.9,6.4
2022-06-01,Ontario,Both sexes,15 years and over,7738300.0,6400200.0,8159400.0,1338000.0,12508500.0,421100.0,61.9,65.2,5.2
2022-06-01,Prince Edward Island,Both sexes,15 years and over,86100.0,72200.0,91600.0,13900.0,139200.0,5500.0,61.9,65.8,6.0
2022-06-01,Quebec,Both sexes,15 years and over,4380600.0,3591400.0,4579900.0,789200.0,7151200.0,199300.0,61.3,64.0,4.4
2022-06-01,Saskatchewan,Both sexes,15 years and over,586300.0,481400.0,609800.0,104900.0,898700.0,23500.0,65.2,67.9,3.9
2022-07-01,Alberta,Both sexes,15 years and over,2386600.0,1958800.0,2511600.0,427800.0,3616800.0,125100.0,66.0,69.4,5.0
2022-07-01,British Columbia,Both sexes,15 years and over,2753800.0,2199700.0,2884500.0,554100.0,4430200.0,130700.0,62.2,65.1,4.5
2022-07-01,Canada,Both sexes,15 years and over,19731100.0,16190400.0,20742600.0,3540700.0,31782400.0,1011500.0,62.1,65.3,4.9
2022-07-01,Manitoba,Both sexes,15 years and over,676900.0,549200.0,704700.0,127600.0,1064400.0,27900.0,63.6,66.2,4.0
2022-07-01,New Brunswick,Both sexes,15 years and over,374800.0,326700.0,404500.0,48100.0,664300.0,29800.0,56.4,60.9,7.4
2022-07-01,Newfoundland and Labrador,Both sexes,15 years and over,233200.0,198500.0,259800.0,34700.0,448600.0,26600.0,52.0,57.9,10.2
2022-07-01,Nova Scotia,Both sexes,15 years and over,483400.0,398600.0,517200.00000000006,84800.0,841000.0,33900.0,57.5,61.5,6.6
2022-07-01,Ontario,Both sexes,15 years and over,7766900.0,6401900.0,8183400.0,1365000.0,12519300.0,416500.0,62.0,65.4,5.1
